exercise_position,position_in_exercise,level,language_name,question_text_en,question_text_bg,answer1_en,answer1_bg,answer2_en,answer2_bg,answer3_en,answer3_bg,answer4_en,answer4_bg,correct_answer_index
1,1,1,Java,What does Java question 1 do?,Какво прави Java въпрос 1?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
1,2,1,Java,What does Java question 2 do?,Какво прави Java въпрос 2?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
1,3,1,Java,What does Java question 3 do?,Какво прави Java въпрос 3?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
1,4,1,Java,What does Java question 4 do?,Какво прави Java въпрос 4?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
1,5,1,Java,What does Java question 5 do?,Какво прави Java въпрос 5?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
1,6,1,Java,What does Java question 6 do?,Какво прави Java въпрос 6?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
1,7,1,Java,What does Java question 7 do?,Какво прави Java въпрос 7?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
1,8,1,Java,What does Java question 8 do?,Какво прави Java въпрос 8?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
1,9,1,Java,What does Java question 9 do?,Какво прави Java въпрос 9?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
1,10,1,Java,What does Java question 10 do?,Какво прави Java въпрос 10?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
2,1,1,Java,What does Java question 11 do?,Какво прави Java въпрос 11?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
2,2,1,Java,What does Java question 12 do?,Какво прави Java въпрос 12?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
2,3,1,Java,What does Java question 13 do?,Какво прави Java въпрос 13?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
2,4,1,Java,What does Java question 14 do?,Какво прави Java въпрос 14?,Option A,Опция А,Option B,Опция Б,Option C,Опция В,Option D,Опция Г,1
